District,Chiefdom,Name of PHU,Community,School Name,School enrollment
KOINADUGU,SENGBE,Koinadugu 11 CHC,DUNDUKOR (SENGBE),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,278
KOINADUGU,SENGBE,Koinadugu 11 CHC,KALKOYA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,155
KOINADUGU,SENGBE,Koinadugu 11 CHC,KOINADUGU (SENGBE),ROMAN CATHOLIC PRIMARY SCHOOL,241
KOINADUGU,SENGBE,Koinadugu 11 CHC,YIRAFILAYA BADALA,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,231
KOINADUGU,SENGBE,Kondeya MCHP,FASAWAYA,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,392
KOINADUGU,SENGBE,Kondeya MCHP,ISMAIA (SENGBE),ALHARRKAN ISLAMIC PRIMARY SCHOOL,200
KOINADUGU,SENGBE,Kondeya MCHP,KONDEYA (SENGBE),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,150
KOINADUGU,SENGBE,Malaforia MCHP,MALAFORIA (SENGBE),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,200
KOINADUGU,SENGBE,Malaforia MCHP,NYFRANDON,COMMUNITY PRIMARY SCHOOL,88
KOINADUGU,SENGBE,Malaforia MCHP,SENGBE BENDUGU (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,70
KOINADUGU,SENGBE,Momoriemaria MCHP,KANYOKAYA,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,126
KOINADUGU,SENGBE,Momoriemaria MCHP,KEREDUDU,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,86
KOINADUGU,SENGBE,Momoriemaria MCHP,MOMORIMAYAN (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA (SENGBE),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,75
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,224
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,184
KOINADUGU,SENGBE,Narsarah Clinic ,YOGOMAIA - KABALA (SENGBE),AHMADIYYA MUSLIM PRIMARY SCHOOL,447
KOINADUGU,SENGBE,Narsarah Clinic ,YOGOMAIA KABALA (SENGBE),CHRIST THE KING COLLEGE,351
KOINADUGU,SENGBE,Narsarah Clinic ,YOGOMAIA KABALA (SENGBE),"CHRISTIAN REFORMED CHURCH PRIMARY SCHOOL, KABALA",210
KOINADUGU,SENGBE,Narsarah Clinic ,YOGOMAIA KABALA (SENGBE),KENETIC PRIMARY (COW YARD),417
KOINADUGU,SENGBE,Narsarah Clinic ,YOGOMAIAI (SENGBE),BRIGHT HORIZON PRIMARY SCHOOL,173
KOINADUGU,SENGBE,SLRCS,FARANDUGU (SENGBE),GEM INTERNATIONAL,245
KOINADUGU,SENGBE,SLRCS,FARANDUGU (SENGBE),ISLAMIC PRIMARY SCHOOL,650
KOINADUGU,SENGBE,SLRCS,FARANDUGU (SENGBE),ROMAN CATHOLIC PRIMARY SCHOOL,229
KOINADUGU,SENGBE,SLRCS,YOGOMAIA (SENGBE),GETHSEMANE EVANGELICAL MINISTRY PRIMARY SCHOOL,101
KOINADUGU,SENGBE,SLRCS,SESAYLA (SENGBE),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,250
KOINADUGU,TAMISO,Kamabondeh MCHP,KAMABONDEH (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,83
KOINADUGU,TAMISO,Kamabondeh MCHP,KASONTANA (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,51
KOINADUGU,TAMISO,Kamabondeh MCHP,GBONKOBO (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,82
KOINADUGU,TAMISO,Kamathoi MCHP,KAMATHOIE (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,86
KOINADUGU,TAMISO,Kamathoi MCHP,KANONKOH (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,76
KOINADUGU,TAMISO,Kamathoi MCHP,KASANGBA (TAMISO),CHRIST  STANDAD PRIMARY  SCHOOL ,63
KOINADUGU,TAMISO,Karasa MCHP,KARASA (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,115
KOINADUGU,TAMISO,Karasa MCHP,MONGO SARAFULA (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,140
KOINADUGU,TAMISO,Karasa MCHP,KASANRORIE (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,121
KOINADUGU,TAMISO,Karasa MCHP,KAMAKEHEN (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,47
KOINADUGU,TAMISO,Karasa MCHP,KAMATHATA LIMBA(TAMISO),ROMAN CATHOLIC PRIMARY SCHOOL,76
KOINADUGU,TAMISO,Karasa MCHP,Kamagboreh,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,50
KOINADUGU,TAMISO,Kasanikoro CHC,KABO LIMBA (TAMISO),CHRIST STANDARD PRIMARY SCHOOL,35
KOINADUGU,TAMISO,Kasanikoro CHC,KABOREH (TAMISO),CHRIST STANDARD PRIMARY SCHOOL,72
KOINADUGU,TAMISO,Kasanikoro CHC,KAHANKARAY (TAMISO),CHRIST STANDARA PRIMARY SCHOOL,213
KOINADUGU,TAMISO,Kasanikoro CHC,KAHATHA (KASUNKO KAKELLIAN),CHRIST STANDARD PRIMARY SCHOOL,169
KOINADUGU,TAMISO,Kasanikoro CHC,KAMAYABEREH (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,86
KOINADUGU,TAMISO,Kasanikoro CHC,KANATORTOR (KASUNKO KAKELLIAN),CHRIST STANDARD PRIMARY SCHOOL KANATORTOR,93
KOINADUGU,TAMISO,Kasanikoro CHC,KASINIKORO (TAMISO),DISTRICT EDUCATION PRIMARY SCHOOL,193
KOINADUGU,TAMISO,Kasanikoro CHC,MONGO WEREDALA (KASUNKO KAKELLIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,148
KOINADUGU,TAMISO,Kasanikoro CHC,KAMAYORTORTOR (TAMISO),ROMAN CATHOLIC PRIMARY SCHOOL,69
KOINADUGU,TAMISO,Kasanikoro CHC,KAHANGAMA (TAMISO),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,79
KOINADUGU,WARA WARA BAFODIA,Bafodia CHC,BAFODIA,ALHARARRKAN PRIMARY SCHOOL BAFODIA,223
KOINADUGU,WARA WARA BAFODIA,Bafodia CHC,BAFODIA (WARA WARA BAFODIA),ROMAN CATHOLIC PRIMARY SCHOOL,192
KOINADUGU,WARA WARA BAFODIA,Bafodia CHC,BAFODIA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,301
KOINADUGU,WARA WARA BAFODIA,Bafodia CHC,KAMADAIN DAINA (WARA WARA BAFODIA),AL-HARRKAN PRIMARY SCHOOL,130
KOINADUGU,WARA WARA BAFODIA,Bafodia CHC,KAPONPOH (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,215
KOINADUGU,WARA WARA BAFODIA,Kadanso MCHP,KADANSO,WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,286
KOINADUGU,WARA WARA BAFODIA,Kadanso MCHP,KAKONSO,ROMAN CATHOLIC PRIMARY SCHOOL,187
KOINADUGU,WARA WARA BAFODIA,Kadanso MCHP,KAYEMBON,ROMAN CATHOLIC PRIMARY SCHOOL,145
KOINADUGU,WARA WARA BAFODIA,Kadanso MCHP,KAYENDA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,229
KOINADUGU,WARA WARA BAFODIA,Kakondobi MCHP,KAKONDOBI (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,270
KOINADUGU,WARA WARA BAFODIA,Kakondobi MCHP,KAKONDOBI (WARA WARA BAFODIA),ALHARARRKAN PRIMARY SCHOOL BAFODIA,219
KOINADUGU,WARA WARA BAFODIA,Kakoya MCHP,KAKOYA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,137
KOINADUGU,WARA WARA BAFODIA,Kakoya MCHP,KAMAGBENGBE (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,141
KOINADUGU,WARA WARA BAFODIA,Kakoya MCHP,KASAIPAINA (WARA WARA BAFODIA),"AL-HARRKAN PRIMARY SCHOOL,",142
KOINADUGU,WARA WARA BAFODIA,Kapakie MCHP,KAMAKUMBA (WARA WARA BAFODIA),"N.B.C. PRIMARY SCHOOL, KAMAKUMBA",165
KOINADUGU,WARA WARA BAFODIA,Kapakie MCHP,KAMAKUMBA (WARA WARA BAFODIA),ROMAN CATHOLIC PRIMARY SCHOOL,292
KOINADUGU,WARA WARA BAFODIA,Sakuta MCHP,KAKAMBA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,157
KOINADUGU,WARA WARA BAFODIA,Sakuta MCHP,SAKUTA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,275
KOINADUGU,WARA WARA BAFODIA,Sakuta MCHP,KADANKAN (WARA WARA BAFODIA),ROMAN CATHOLIC PRIMARY SCHOOL,339
KOINADUGU,WARA WARA BAFODIA,Semamayia MCHP,SEREDUGU,WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,145
KOINADUGU,WARA WARA BAFODIA,Semamayia MCHP,SEIMANAYA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,192
KOINADUGU,WARA WARA BAFODIA,Semamayia MCHP,SEIMANAYA (WARA WARA BAFODIA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,213
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,ALUSANIYA,CRC KADIA PRIMARY SCHOOL,42
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,HEREMAKONO (WARA WARA YAGALA),BINTA'S ANGEL PRIMARY SCHOOL,95
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,HEREMAKONO (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,294
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,HEREMAKONO (WARA WARA YAGALA),KASORIEYA PRIMARY SCHOOL,6
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,IGAIA (WARA WARA YAGALA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,200
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,MAKURA,SERVICES ALUSANIYA PRIMARY SCHOOL,131
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,MAKURA,SUNDAY FOUNDATION PRIMARY SCHOOL,270
KOINADUGU,WARA WARA YAGALA,Heremakono MCHP,ALUSAINIYA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,200
KOINADUGU,WARA WARA YAGALA,Kabala Static,BADAINBAYA (WARA WARA YAGALA),NURUL ISLAMIC PRIMARY SCHOOL,274
KOINADUGU,WARA WARA YAGALA,Kabala Static,BANKOLIA KABALA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,271
KOINADUGU,WARA WARA YAGALA,Kabala Static,BILLIMAIA (WARA WARA YAGALA),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,205
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA (WARA WARA YAGALA),ANSARUL ISLAMIC PRIMARY SCHOOL,264
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA (WARA WARA YAGALA),MODERN FOUNDATION ACADEMY PRIMARY SCHOOL,275
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA BILIMAIA (WARA WARA YAGALA),THE LORD'S MISSION PRIMARY SCHOOL,175
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA CENTRAL (WARA WARA YAGALA),BINTUMANI HIGH PRIMARYSCHOOL,134
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA CENTRAL (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL JUNIOR,252
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA CENTRAL (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL JUNIOR,418
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA ISMAIA ROAD (WARA WARA YAGALA),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,130
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA ISMAIA ROAD (WARA WARA YAGALA),UNITED METHODIST CHURCH PRIMARY SCHOOL,165
KOINADUGU,WARA WARA YAGALA,Kabala Static,KARAKOR SOKURALLA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,324
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO (WARA WARA YAGALA),SAINT JOSEPH CATHOLIC PRIMARY SCHOOL KATHOMBO II,397
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO II (WARA WARA YAGALA),COMATEH PRIMARY SCHOOL,159
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO II (WARA WARA YAGALA),GLORY INTERNATIONAL PRIMARY SCHOOL,38
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO II (WARA WARA YAGALA),KABALA SCHOOL FOR THE BLIND,41
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO II (WARA WARA YAGALA),MAF JAY PRIMARY SCHOOL,188
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO II (WARA WARA YAGALA),NASARRET PRIMARY SCHOOL,223
KOINADUGU,WARA WARA YAGALA,Kabala Static,KATHOMBO II (WARA WARA YAGALA),SAMASAS ACCADEMY PRIMARY SCHOOL,68
KOINADUGU,WARA WARA YAGALA,Kabala Static,KUREKUNEMAN VILLAGE (WARA WARA YAGALA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,207
KOINADUGU,WARA WARA YAGALA,Kabala Static,ONE MILE  RD. (WARA WARA YAGALA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,217
KOINADUGU,WARA WARA YAGALA,Kabala Static,ONE MILE (WARA WARA YAGALA),SIERRA LEONE MUSLIMBROTHERHOOD PRIMARY SCHOOL,200
KOINADUGU,WARA WARA YAGALA,Kabala Static,SANGAI COMPOUND (WARA WARA YAGALA),ALBART KORIO MEMORIAL PRIMARY SCHOOL,247
KOINADUGU,WARA WARA YAGALA,Kabala Static,1 MILE (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,142
KOINADUGU,WARA WARA YAGALA,Kabala Static,BANKOLIA KABALA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL JUNIOR,403
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA ISMAIA ROAD (WARA WARA YAGALA),"NAZARETH HOUSE APOSTOLATE PRIMARY SCHOOL, KABALA",200
KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA (WARA WARA YAGALA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,275
KOINADUGU,WARA WARA YAGALA,Kayakor MCHP,KAYAKOH (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,173
KOINADUGU,WARA WARA YAGALA,Kayakor MCHP,KAYAKOH 1,ROMAN CATHOLIC PRIMARY SCHOOL,265
KOINADUGU,WARA WARA YAGALA,Kayakor MCHP,KAYAKOH 2,ROMAN CATHOLIC PRIMARY SCHOOL,102
KOINADUGU,WARA WARA YAGALA,Konkoba MCHP,KONKOBA (WARA WARA YAGALA),KI PRIMARY SCHOOL,317
KOINADUGU,WARA WARA YAGALA,Konkoba MCHP,KONKOBA (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,317
KOINADUGU,WARA WARA YAGALA,Mamudiakoro MHCP,AFFIA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,386
KOINADUGU,WARA WARA YAGALA,Mamudiakoro MHCP,MAMUDIAKURA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,274
KOINADUGU,WARA WARA YAGALA,Mamudiakoro MHCP,SULAYIMANIA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,203
KOINADUGU,WARA WARA YAGALA,Sarakoh MCHP,BENDUKURA (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,73
KOINADUGU,WARA WARA YAGALA,Sarakoh MCHP,KABALA CENTRAL (WARA WARA YAGALA),"ROMAN CATHOLIC PRIMARY SCHOOL SENIOR,",242
KOINADUGU,WARA WARA YAGALA,Sarakoh MCHP,KODALA,ROMAN CATHOLIC PRIMARY SCHOOL,200
KOINADUGU,WARA WARA YAGALA,Sarakoh MCHP,SARAKOH (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,200
KOINADUGU,WARA WARA YAGALA,Senekedugu ,KANUKA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,222
KOINADUGU,WARA WARA YAGALA,Senekedugu ,SENEKUDUGU (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,397
KOINADUGU,WARA WARA YAGALA,Wara Wara Faith Clinic ,CEMETERY ROAD (WARA WARA YAGALA),FORUM FOR AFRICAN WOMEN EDUCATIONIST PRIMARY SCHOOL,68
KOINADUGU,WARA WARA YAGALA,Wara Wara Faith Clinic ,KABALA CEMETERY ROAD (WARA WARA YAGALA),EBENEZER COMPREHENSIVE PRIMARY SCHOOL,109
KOINADUGU,WARA WARA YAGALA,Wara Wara Faith Clinic ,KABALA GBAWURIA I (WARA WARA YAGALA),ABIE'S PEDDLE PRIMARY SCHOOL,377
KOINADUGU,WARA WARA YAGALA,Wara Wara Faith Clinic ,KABALA GBAWURIA I (WARA WARA YAGALA),BAPTIST PRIMARY SCHOOL NBC),97
KOINADUGU,WARA WARA YAGALA,Wara Wara Faith Clinic ,KABALA GBAWURIA I (WARA WARA YAGALA),ROCK YOUR BABY PRIMARY SCHOOL,67
KOINADUGU,WARA WARA YAGALA,Wara Wara Faith Clinic ,KABALA GBAWURIA I (WARA WARA YAGALA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY SCHOOL.,944
KOINADUGU,WARA WARA YAGALA,Yataya CHP,KAMASA,ROMAN CATHOLIC PRIMARY SCHOOL,245
KOINADUGU,WARA WARA YAGALA,Yataya CHP,KATHAWUYA (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,127
KOINADUGU,WARA WARA YAGALA,Yataya CHP,YATAYA/ YAGALA (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,211
BONTHE,BENDUCHA,BENDU CHC ,BENDU,UMC PRIMARY SCHOOL - BENDU,194
BONTHE,BENDUCHA,MINDOHUN MCHP,MINDOHUN,DEC PRIMARY SCHOOL -MINDOHUN,209
BONTHE,BENDUCHA,MINDOHUN MCHP,MOKAINWA,SOLAR GRACE PRIMARY SCHOOL-MOKAINWA,264
BONTHE,BENDUCHA,TAIGBE CHP,TAIGBE,RC PRIMARY SCHOOL-TAIGBE,219
BONTHE,BENDUCHA,TAIGBE CHP,KPENDEHUN VILLAGE,ICS PRIMARY SCHOOL-KPENDEHUN VILLAGE,233
BONTHE,BENDUCHA,GIEBINA CHP, MALEMA,DEC PRIMARY SCHOOL -MALEMA,113
BONTHE,BENDUCHA,GIEBINA CHP, MOMOYA,UMC PRIMARY SCHOOL - MOMOYA,157
BONTHE,BENDUCHA,MO-DAVIES,KONDOR,DEC PRIMARY SCHOOL -KONDOR,250
BONTHE,BENDUCHA,MO-DAVIES,MOCHARLES,UBC PRIMARY SCHOOL-MOCHARLES,225
BONTHE,BENDUCHA,MO-DAVIES,NGIYEHUN ,ICS PRIMARY SCHOOL-NGIYEHUN ,132
BONTHE,BMC,BONTHE UNDER 5 CLINIC,BMC,ICS PRIMARY SCHOOL-BMC,357
BONTHE,BMC,BONTHE UNDER 5 CLINIC,BMC,DEC PRIMARY SCHOOL-BMC,254
BONTHE,BMC,SLRCS CHP ,BMC,UMC PRIMARY SCHOOL-BMC,324
BONTHE,BMC,SLRCS CHP ,BMC,MINIMUL PRIMARY SCHOOL-BMC,338
BONTHE,BMC,ST JOSEPH CHP,BMC,ST JOSEPH PRIMARY SCHOOL - BMC,131
BONTHE,BMC,ST JOSEPH CHP,BMC,ST PATRICK PRIMARY SCHOOL-BMC,108
BONTHE,BMC,ST JOSEPH CHP,BMC,SIERRA LEONE CHURCH AMALGAMATED PRIMARY SCHOOL,349
BONTHE,BMC,YORK ISLAND CHP,YORK ISLAND,SLC PRIMARY SCHOOL- YORK ISLAND,98
BONTHE,BUM,MADINA CHC,MADINA,DEC PRIMARY SCHOOL-MADINA,495
BONTHE,BUM,MADINA CHC,MADINA,METHODIST PRIMARY SCHOOL-MADINA,219
BONTHE,BUM,MADINA CHC,LEVUMA,NATIONAL ISLAMIC PRIMARY SCHOOL-LEVUMA,344
BONTHE,BUM,MADINA CHC,GBESSEH,MISSION FOR SOULS PRIMARY SCHOOL-GBESSEH,88
BONTHE,BUM,MADINA CHC,MOTIA 1,SLMB PRIMARY SCHOOL-MOTIA 1,244
BONTHE,BUM,MADINA CHC,KPANDEBU,SLMB PRIMARY SCHOOL-KPANDEBU,357
BONTHE,BUM,MADINA CHC,MADINA ,SLMB PRIMARY SCHOOL -MADINA ,352
BONTHE,BUM,MADINA CHC,MALEMA,METHODIST PRIMARY SCHOOL-MALEMA,337
BONTHE,BUM,MADINA CHC,YORNIE,SLMB PRIMARY SCHOOL -YORNIE,273
BONTHE,BUM,KARLEH MCHP,KARLEH,ICS PRIMARY SCHOOL-KARLEH,236
BONTHE,BUM,SOGBALLEH CHP,SOGBALLEH,ICS PRIMARY SCHOOL-SOGBALLEH,474
BONTHE,BUM,SOGBALLEH CHP,BENGEH,SLMB PRIMARY SCHOOL-BENGEH,317
BONTHE,BUM,NGEPEHUN CHP,NGEPEHUN,RC PRIMARY SCHOOL-NGEPEHUN,310
BONTHE,BUM,NGEPEHUN CHP,JUDIA,ICS PRIMARY SCHOOL-JUDIA,235
BONTHE,BUM,NGEPEHUN CHP,TONGIA,SLUIM PRIMARY SCHOOL-TONGIA,255
BONTHE,BUM,NGESSEHUN MCHP,NYADEHUN 3,NEW APOSTOLIC PRIMARY SCHOOL-NYADEHUN 3,243
BONTHE,BUM,NGESSEHUN MCHP,MENDE,NEW Life ACADEMY PRIMARY SCHOOL-MENDE,98
BONTHE,BUM,NGESSEHUN MCHP,KANGA,RC PRIMARY SCHOOL-KANGA,239
BONTHE,BUM,NGESSEHUN MCHP,MANIA,MANIA COMMUNITY PRIMARY SCHOOL-MANIA,272
BONTHE,BUM,NGESSEHUN MCHP,ISLAMIC CALL SOCIETY PRIMARY SCHOOL,ISLAMIC CALL SOCIETY PRIMARY SCHOOL,229
BONTHE,BUM,NGESSEHUN MCHP,NGESSEHUN,RC PRIMARY SCHOOL-NGESSEHUN,249
BONTHE,BUM,MAAMI CHP,SIMBARU,RC PRIMARY SCHOOL-SIMBARU,381
BONTHE,BUM,MAAMI CHP,MAAMI,RC PRIMARY SCHOOL-MAAMI,347
BONTHE,BUM,MAAMI CHP,BENDU,SLMB PRIMARY SCHOOL-BENDU,277
BONTHE,BUM,TORMA CHC,TORMA,METHODIST PRIMARY SCHOOL-TORMA,244
BONTHE,BUM,TORMA CHC,TORMA,SLMB PRIMARY SCHOOL-TORMA,152
BONTHE,BUM,TORMA CHC,TORMA,NATIONAL ISLAMIC PRIMARY SCHOOL-TORMA,274
BONTHE,BUM,TORMA CHC,KELLEH,COMMUNITY PRIMARY SCHOOL-KELLEH,75
BONTHE,BUM,TORMA CHC,WAAH,DEC PRIMARY SCHOOL-WAAH,57
BONTHE,BUM,TORMA CHC,TORMA,RC PRIMARY SCHOOL-TORMA,125
BONTHE,BUM,TASSOR CHP,TASSOR,DEC PRIMARY SCHOOL-TASSOR,270
BONTHE,BUM,TASSOR CHP,FAKONO,DEC PRIMARY SCHOOL-FAKONO,182
BONTHE,DEMA,TOMBAY CHP,TOMBAY,DEC PRIMARY SCHOOL-TOMBAY,229
BONTHE,DEMA,TISSANA CHC,YELLEH,DEC PRIMARY SCHOOL-YELLEH,218
BONTHE,DEMA,TISSANA CHC,NYANGAI,DEC PRIMARY SCHOOL-NYANGAI,161
BONTHE,DEMA,TISSANA CHC,TISSANA,RC PRIMARY SCHOOL-TISSANA,430
BONTHE,DEMA,BUMPETOKE CHP,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,130
BONTHE,DEMA,BUMPETOKE CHP,MOOTHI,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL-MOOTHI,180
BONTHE,DEMA,BUMPETOKE CHP,BARKAY,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL-BARKAY,100
BONTHE,DEMA,BUMPETOKE CHP,SHE,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL-SHE,200
BONTHE,DEMA,BAOMA MCHP,BAOMA,UMC PRIMARY SCHOOL-BAOMA,437
BONTHE,IMPERI,GBANGBAIA CHC,GBANGBAIA,UBC PRIMARY SCHOOL-GBANGBAIA,482
BONTHE,IMPERI,GBANGBAIA CHC,SEMABU,ICS PRIMARY SCHOOL-SEMABU,252
BONTHE,IMPERI,MOKEPAY CHP,MOKEPAY,SLMB PRIMARY SCHOOL-MOKEPAY,154
BONTHE,IMPERI,GBANGBAMA CHC,GBANGBAMA,UBC PRIMARY SCHOOL- GBANGBAMA,109
BONTHE,IMPERI,GBANGBAMA CHC,FOINDA,SLMB PRIMARY -FOINDA,95
BONTHE,IMPERI,GBANGBAMA CHC,MADINA,UBC PRIMARY SCHOOL -MADINA,182
BONTHE,IMPERI,GBANGBAMA CHC,YANGATOKE,KANKALAY ISLAMIC PRIMARY SCHOOL-YANGATOKE,125
BONTHE,IMPERI,GAINDEMA CHP,GAINDEMA,RC PRIMARY SCHOOL -GAINDEMA,153
BONTHE,IMPERI,VICTORIA CHP,VICTORIA,UBC PRIMARY SCHOOL-VICTORIA,274
BONTHE,IMPERI,VICTORIA CHP,MATAKAN,DEC PRIMARY SCHOOL-MATAKAN,208
BONTHE,IMPERI,VICTORIA CHP,BOBASENI,KANKALAY ISLAMIC PRIMARY SCHOOL-BOBASENI,155
BONTHE,IMPERI,VICTORIA CHP,TAESSOR,ICS PRIMARY SCHOOL-TAESSOR,66
BONTHE,IMPERI,YARGOI CHC,MOMALIGIE,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL- MOMALIGIE,171
BONTHE,IMPERI,YARGOI CHC,KANKAYLAY ISLAMIC PRIMARY SCHOOL,KANKAYLAY ISLAMIC PRIMARY SCHOOL,185
BONTHE,IMPERI,YARGOI CHC,YARGOI,RC PRIMARY SCHOOL-YARGOI,312
BONTHE,IMPERI,JANGALLOR CHP,JANGALLOR,UBC PRIMARY SCHOOL-JANGALLOR,158
BONTHE,IMPERI,JANGALLOR CHP,MOKING,COMMUNITY PRIMARY SCHOOL-MOKING,92
